Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
"[Reconciliation] ""Refund - Referrer fees"" should not be displayed in the Merchant view",OBN1-21243,Bug,Done,P1 ,Done,6/9/2025 8:31,6/23/2025 15:35,OBN 1.88,,,,,"According to [[OBN1-4856] [Reconciliation] Add Scheme and Interchange Fee (Card) - Jira|https://cardstream.atlassian.net/browse/OBN1-4856] the “Refund - Referrer fees” should not be displayed in the Merchant view on the Reconciliation page.

Expected result: The *Refund - Referer fees* should not be displayed.
Current issue: *Refund - Referer fees*{color:#bf2600} {color}{color:#bf2600}are displayed.{color}

Example:
1. the user is logged in as a Merchant
2. the user access the Reconciliation page and selected a reporting period
3. when viewing “Fees deducted since start of period, the “Refund - Referrer fees” should not appear for the Merchant user:

!image-20250609-140538.png|width=1697,height=625,alt=""image-20250609-140538.png""!

!image-20250609-140728.png|width=1352,height=508,alt=""image-20250609-140728.png""!

!image-20250609-144338.png|width=1239,height=273,alt=""image-20250609-144338.png""!

{panel:bgColor=#deebff}
No Referrer fees should be displayed in the Merchant view.
{panel}",,,145,,,1
"[Reconciliation] Correct the ""Last updated"" value",OBN1-21212,Bug,Done,P2,Done,6/5/2025 16:06,6/27/2025 13:48,OBN 1.88,,,,,"Scenarios from the stage and results (for all scenarios below, consider you see them as a user on the _current_ date “23 Jun 2025”):

# “Last update” is displayed correctly
!image-20250623-071840.png|width=2109,height=1149,alt=""image-20250623-071840.png""!


# “Last update” is displayed correctly:
# !image-20250623-071942.png|width=2108,height=1148,alt=""image-20250623-071942.png""!
“Last update” is displayed incorrectly:
!image-20250623-072020.png|width=2132,height=1200,alt=""image-20250623-072020.png""!

*_Required_* *_fix:_* The “Last updated” value should be the datetime when the last EWD job has run and does not change depending on the selected Report “Start date” or “End date”.



{panel:bgColor=#deebff}
Based on the original requirement from [[OBN1-1964] [Dev] Last Updated - Jira|https://cardstream.atlassian.net/browse/OBN1-1964], the “Last updated” field should be a datetime value that only changes when the EWD job has run. It should not change based on the selected “Start date” and “End date” in the UI. 
{panel}",,,145,,,2
[OBMC] Processing values are not displayed for outlets for OBMC,OBN1-21207,Bug,Done,P3,Done,6/4/2025 15:24,7/10/2025 9:10,OBN 1.89,NoShow,,,,"*Steps*: 

# Run EWD day job for yesterday
# Process RTP, RTR for OBMC for Today date
!image-20250604-143258.png|width=1727,height=199,alt=""image-20250604-143258.png""!
# Run EWD day job for Today
# Check {{payment_report_parts}} have new_funds_volume
!image-20250604-143324.png|width=1701,height=230,alt=""image-20250604-143324.png""!
# Navigate to Merchats → Outlets
# Validate Processing for Open Banking (Mastercard)

*Expected*: In “Processing for Open Banking (Mastercard)” is displayed sum of {{(new_funds_volume - refund_volume)}} for last 30 days from payment_report_parts (just OBMC mpa’s)

*Actual*: N/A is displayed

!image-20250604-143436.png|width=2101,height=1129,alt=""image-20250604-143436.png""!

if login as Merchant same issue

!image-20250604-143345.png|width=2074,height=753,alt=""image-20250604-143345.png""!

Note: “Total Processing” is displaying correct value

dump [^dump-obn-202506041707.sql] ",,,146,,,2
Safeguard and RR amounts are not populated in payment_report_parts after EWD executes,OBN1-21114,Bug,To Do,P3,,5/22/2025 16:04,,,,,,,"Need to investigate why we need the fields 
 rr_start_of_day_count
  rr_start_of_day_volume
  safeguard_start_of_day_count
  safeguard_start_of_day_volume

in table payment_report_parts . Cause UI seems to show amount, but not Count

!image-20250522-153640.png|width=2080,height=1134,alt=""image-20250522-153640.png""!

probably from here 

!image-20250522-153755.png|width=1463,height=228,alt=""image-20250522-153755.png""!



*Steps*: 
Dump attached

[^dump-obn-202505221539.sql]

# Change PC date time to 5th May 4pm
# Run test {{Scenario: Bambora Settlement Report with Sales and Refunds and CB is imported and matched}} to match Sale and Refund transactions
# Process refunds, sales 
# Check the {{SELECT * FROM payment_merchants WHERE id = 8;}} safeguard_reserved_minor_units increased by the value of RR for all sales. 
# Change PC date time to 5th May 8pm
# run {{php bin/console obn:working-hour}}
# Records are created in payment_report_parts table

*Expected*: values are populated for this columns below

!image-20250522-152624.png|width=1661,height=307,alt=""image-20250522-152624.png""!

*Actual*: are not populated",,,148,,,
[PROD] Error matching Bambora Sale transactions,OBN1-21092,Bug,Done,P1 ,Done,5/20/2025 16:08,5/22/2025 7:20,OBN 1.85,,,,,"PROD issue:

# Error matching Bambora Sale transactions

!image-20250520-150904.png|width=83.33333333333334%,alt=""image-20250520-150904.png""!",,,142,,,
"""Download signed offer (signed on DD.MM.YYYY)"" is displayed in ""Commercial Offer"" tab even if merchant rejected the offer",OBN1-21025,Bug,Done,P3,Done,5/14/2025 12:45,5/15/2025 12:46,OBN 1.84,,,,,"If the commercial offer was rejected by the merchant, “Download signed offer (signed on 14 May 2025)” is still displayed on the “Commercial Offer” tab of the merchant application



STEPS TO REPRODUCE:

# Start onboarding of a merchant
# Make sure the merchant has a portal user created
# Make the workflow get to step “Present commercial offer to applicant for signing”
# Log in as the merchant that is onboarded
# Reject the offer

!image-20250514-114339.png|width=1596,height=685,alt=""image-20250514-114339.png""!
# Workflow will go to “Commercial offer accepted by applicant” step with Manual status

!image-20250514-114418.png|width=1729,height=734,alt=""image-20250514-114418.png""!



# Check if a “signed” commercial offer is displayed on the “Commercial Offer” page of the application



EXPECTED:

# An unsigned version of the PDF should be available



ACTUAL:

# A signed PDF is available for download
# !image-20250514-114735.png|width=722,height=455,alt=""image-20250514-114735.png""!



DB dump attached

user: [operator.admin@moneris.com|mailto:operator.admin@moneris.com]
pass: [operator.admin@moneris.com|mailto:operator.admin@moneris.com]
Application ID: 172",,,142,,,1
Operator cannot confirm commercial offer after initially rejected by merchant,OBN1-21024,Bug,Done,P3,Done,5/14/2025 12:31,5/15/2025 12:48,OBN 1.84,,,,,"If the commercial offer was rejected by the merchant, workflow steps goes to manual from where the operator has the option to manually confirm it. When selecting “confirm” an error is thrown instead of confirming



STEPS TO REPRODUCE:

# Start onboarding of a merchant
# Make sure the merchant has a portal user created
# Make the workflow get to step “Present commercial offer to applicant for signing”
# Log in as the merchant that is onboarded
# Reject the offer

!image-20250514-114339.png|width=1596,height=685,alt=""image-20250514-114339.png""!
# Workflow will go to “Commercial offer accepted by applicant” step with Manual status

!image-20250514-114418.png|width=1729,height=734,alt=""image-20250514-114418.png""!



# Confirm the offer from the Manual step as operator admin user



EXPECTED:

# Offer is accepted



ACTUAL:

# “Operation is not allowed” error is displayed

!image-20250514-114814.png|width=1369,height=795,alt=""image-20250514-114814.png""!



# Offer is not confirmed





DB dump attached

user: [operator.admin@moneris.com|mailto:operator.admin@moneris.com]
pass: [operator.admin@moneris.com|mailto:operator.admin@moneris.com]
Application ID: 172",found on stage moneris,,142,,,1
Billing plan name minimum length validation not displayed on UI,OBN1-21023,Bug,Done,P3,Done,5/14/2025 12:19,5/14/2025 12:56,OBN 1.84,,,,,"Billing plan name minimum length validation not displayed on UI



STEPS TO REPRODUCE:

# Edit the billing plan of a referrer
# Set a name with less than 3 characters
# Try to save the changes



EXPECTED:

# A validation for minimum length is displayed on UI



ACTUAL:

# No UI validation si shown
# only backend validation error can be seen if checked manually in Network tab",,,142,,,1
[Payment files] Import Moneris SFTP payment files even if the files have no transaction data,OBN1-20806,Bug,Done,P1 ,Done,4/15/2025 10:09,4/15/2025 15:15,OBN 1.82,Moneris,MonerisMVP2,,,"*Required fix:*

# All Moneris SFTP payment files need to be imported successfully even if the files have no transaction data:
a. UNIVERSAL SETTLEMENT FILE - {chainNumber}.NL8CSV34.CSV
b. CHAINS DAILY COPY REQUEST ACTIVITY FILE - {chainNumber}.NL8FTP37.CSV
c. CHAINS DAILY CHARGEBACK ACTIVITY FILE - {chainNumber}.NL8FTP38.CSV
d. PAYMENT ORDER DETAILS REPORT - {chainNumber}.NL8FTP39.CSV
e. DISPUTE FEE DETAILS REPORT -{chainId}.NL8FTP60.CSV


*Errors captured during testing the following payment files:*

# [ERROR] An error occurred when file /tmp//20250415074109_943373/1744702869.4473_                                                                                                             831964_*C600058938.NL8FTP60.CSV.*20250221 was importing: Error: TypeError.
Code: 0
Message: App\Service\Moneris\ReportImportService::handleTransactionDetailsGenera                                                                                                             l(): Argument #1 ($transaction) must be of type App\Service\Moneris\Report\Trans                                                                                                             actionDto, null given, called in /var/www/api.staging.obnglobal.com/src/Service/                                                                                                             Moneris/ReportImportService.php on line 122
Trace:
#0 ReportImportService.php:122: App\Service\Moneris\ReportImportService->handleT                                                                                                             ransactionDetailsGeneral(..)
#1 MonerisImportPaymentsCommand.php:210:
# [ERROR] An error occurred when file /tmp//20250415084256_797954/1744706576.7051_517712_*C600058938.NL8CSV34.CSV*.20250222 was importing: Error: TypeError.
Code: 0
Message: App\Service\Moneris\ReportImportService::handleTransactionDetailsGeneral(): Argument #1 ($transaction) must be of type App\Service\Moneris\Report\TransactionDto, null given, called in /var/www/api.staging.obnglobal.com/src/Service/Moneris/ReportImportService.php on line 122
Trace:
#0 ReportImportService.php:122: App\Service\Moneris\ReportImportService->handleTransactionDetailsGeneral(..)
# [ERROR] An error occurred when file /tmp//20250415084256_797954/1744706576.5178_121257_*C600058938.NL8FTP39.CSV*.20250222 was importing: Error: TypeError.
Code: 0
Message: App\Service\Moneris\ReportImportService::handleTransactionDetailsGeneral(): Argument #1 ($transaction) must be of type App\Service\Moneris\Report\TransactionDto, null given, called in /var/www/api.staging.obnglobal.com/src/Service/Moneris/ReportImportService.php on line 122
Trace:
#0 ReportImportService.php:122: App\Service\Moneris\ReportImportService->handleTransactionDetailsGeneral(..)
#1 MonerisImportPaymentsCommand.php:210: App\Service\Moneris\ReportImportService->importReport(..)
# ubuntu@ip-172-31-41-120:/var/www/api.staging.obnglobal.com$ sudo -u www-data OP_NAME_CLI=moneris php bin/console dispute:report-file:import MONERIS
[ERROR] An error occurred when file /tmp/20250415091843_483960/1744708723.6602_456569_*C600058938.NL8FTP37.CSV*.20220616 was importing: Error: TypeError.
Code: 0
Message: App\Service\AcquirerReport\Dispute\ReportImportService::handleTransactionDetailsGeneral(): Argument #1 ($transaction) must be of type App\Service\AcquirerReport\Dispute\TransactionDto, null given, called in /var/www/api.staging.obnglobal.com/src/Service/AcquirerReport/Dispute/ReportImportService.php on line 117
Trace:
# [ERROR] An error occurred when file /tmp/20250415091843_483960/1744708723.6997_787745_*C600058938.NL8FTP38.CSV*.20220616 was importing: Error: TypeError.
Code: 0
Message: App\Service\AcquirerReport\Dispute\ReportImportService::handleTransactionDetailsGeneral(): Argument #1 ($transaction) must be of type App\Service\AcquirerReport\Dispute\TransactionDto, null given, called in /var/www/api.staging.obnglobal.com/src/Service/AcquirerReport/Dispute/ReportImportService.php on line 117
Trace:
#0 ReportImportService.php:117: App\Service\AcquirerReport\Dispute\ReportImportService->handleTransactionDetailsGeneral(..)",,S2,140,,,2
Diagrams are broken in external docs (Safari),OBN1-20767,Bug,Done,P4,Done,4/10/2025 7:26,4/11/2025 15:31,OBN 1.82,,,,,,"# Open external docs
# Check all pages

Expected: Diagrams are ok

Actual: Diagrams display Syntax error in text",,139,,,1
Dispute search by Case Id does not work (flaky),OBN1-20194,Bug,To Do,P3,,2/19/2025 9:58,,,Q4UI,,,,"*Env*: local, stage

*Steps to reproduce*: 

# Navigate to Disputes → Open Cases (Closed Cases) 
# Type in search id number 1123

*Expected*: dispute with scheme case id = 1123 is displayed

*Actual*: not displayed.",,,148,,,
[Settlement] No retries are performed during Moneris settlement,OBN1-20092,Bug,Done,P2,Done,1/31/2025 9:38,2/10/2025 12:45,OBN 1.78,Moneris,MonerisPhase2.0,,,"No retries are performed after settlement request to Moneris fails (operator confirmed, most probably same issue happens for merchant and referrer).

Functionality was working as in the following test case [[OBN1-15015] Check no more retries are done after number of maximum retries are reached on settlement of Moneris Operator - Jira|https://cardstream.atlassian.net/browse/OBN1-15015]



STEPS TO REPRODUCE:

Background:
Moneris settlement url should have an incorrect value

Given ""MONERIS"" value is set for ""SETTLEMENT_PAYMENT_PROVIDER"" in .env
And ""RESELLER"" organisation exists in ""user_organizations"" table
And id of ""SYNCHRONISED"" status exists in ""moneris_merchants.status_id"" table
And the merchant is linked in ""payment_moneris_operators.moneris_merchant_id"" column to the operator
And Operator has funds that are available for settlement in the Operator Holding account
When user logs in using ""RESELLER"" profile with ""ROLE_ADMIN"" role
And user navigates to ""Organisation"">""Bank Account details"" page
And user clicks on ""Withdraw"" icon
And user enters a value in ""Withdrawal amount"" field
And user clicks on ""Confirm"" button
And a request is sent to Moneris to ""[https://api.ct.moneris.io/tpa/merchants/{merchant-id}/payouts?api_version=2023-08-10|https://api.ct.moneris.io/tpa/merchants/%7Bmerchant-id%7D/payouts?api_version=2023-08-10]"" endpoint



EXPECTED:

# And 20 retries are performed to Moneris endpoint



ACTUAL:

# No retries are performed",,,135,,,3
[PROD] UI issue when saving Billing Plan updates (add new payment service),OBN1-20031,Bug,Done,P2,Done,1/28/2025 12:33,1/30/2025 10:30,OBN 1.77,,,,,"Scenario:

# Take a Referrer with Card Billing Plans only
# Go to edit Billing Plan and add a new Payment Service and any profit type (in this test, I added OBMC, Net Revenue)
# Add all required fees
# Click “Save”

*Expected result:* 

# The Billing Plan update are successfully saved, and confirmative message appears.

*Actual result:*

# The saving process hang, message box appears “This page isn’t responding”.
# It is not possible to reload the page, you need to close the tab, and open a new one, even though no error in the console
# When verifying the Referrer Billing Plan, the updates were successfully saved and now visible in the portal.

+Note+: tested in both Stage and Demo, browser EDGE. 
Also, the +_issue does not reproduce_+ for the scenario: _Referrrer has “OBMC” only_ and _add new payment service “Card”._

!image-20250128-131826.png|width=66.66666666666667%,alt=""image-20250128-131826.png""!

More info:

!image-20250128-134406.png|width=66.66666666666667%,alt=""image-20250128-134406.png""!

!image-20250128-134426.png|width=41.66666666666667%,alt=""image-20250128-134426.png""!",,,134,,,1
Commercial offer is not generated for billing plans with OBMC,OBN1-19952,Bug,Done,P1 ,Done,1/21/2025 13:48,1/22/2025 10:43,OBN 1.76,,,,,"During sanity testing, it was noticed that for merchants that have billing plans with OBMC, the commercial offer fails to generate.



Reproduced on stage



STEPS TO REPRODUCE:

# Make sure referrer has OBMC billing plan activated
# Initiate merchant onboarding and set OBMC as merchant billing plan
# Submit the merchant application



EXPECTED

# Commercial offer PDF to be generated and presented to merchant



ACTUAL:

# Commercial offer fails to generate with error

[2025-01-21T13:13:18.598861+00:00] app.ERROR: Error on generating commercial offer PDF for merchant id = ""1307"".array_map(): Argument #2 ($array) must be of type array, null given Trace: #1 CommercialOfferService.php:198: App\Service\User\MerchantOnboarding\CommercialOfferService->mapCardTypes(..) #2 CommercialOfferService.php:76:



!image-20250121-134316.png|width=1496,height=521,alt=""image-20250121-134316.png""!

most probably because at line 198 card array is expected, but OBMC billing plan has none



!image-20250121-134401.png|width=1083,height=534,alt=""image-20250121-134401.png""!",,,134,,,1
"Referrer support URL is validated only after ""Create Billing Plan"" page",OBN1-19887,Bug,To Do,P4,,1/15/2025 14:59,,,,,,,"URL validation is not performed on same page

STEPS TO REPRODUCE:

# Initiate creation of a referrer
# Set INVALID domain value for Referrer support URL 

!referrer creation invalid support domain-20250115-145508.png|width=1022,height=819,alt=""referrer creation invalid support domain-20250115-145508.png""!

# Click next



EXPECTED

# Validation will be performed on the same page, “Contact Details”



ACTUAL:

# Validation is performed only after clicking “Save” on the “Create Billing Plan Page”



short video can be found in attachments",,S4,150,,,
